Year,Life_expectancy ,infant_deaths,Alcohol,percentage_expenditure,Hepatitis B,Measles ,under_five_deaths ,Polio,Total_expenditure,Diphtheria ,Income_composition_of_resources,Schooling
2014,65.3,8,0.01,0,88,339,11,88,1.87,88,0.573,10.6
2013,64.9,9,0.01,0,87,71,12,86,2,87,0.563,10.4
2012,64.4,9,0.01,0,79,32,12,78,2.12,79,0.554,10.2
2011,64,9,5.39,0,78,113,13,79,2.2,78,0.542,9.9
2010,63.6,10,5.95,0,74,153,13,76,2.75,74,0.535,9.6
2009,63.1,10,5.18,0,67,78,14,67,3.77,67,0.525,9.4
2008,62.6,10,5.1,0,61,174,14,6,2.77,61,0.518,9.2
2007,62.1,11,5,0,5,1678,15,46,4.14,5,0.509,9
2006,61.5,11,3.69,0,57,58,15,56,4.14,57,0.503,9
2005,61,11,3.68,0,49,295,16,5,4.32,49,0.494,8.7
2004,64,12,3.53,0,45,1491,16,46,4.54,45,0.485,8.6
2003,59.8,12,3.41,0,5,1810,17,52,4.91,49,0.477,8.3
2002,59.3,13,3.33,0,,2070,18,55,4.4,53,0.468,8
2001,58.7,13,3.13,0,,94,19,55,4.32,52,0.463,8
2000,58.1,14,5.16,0,,332,20,57,3.41,51,0.459,8
2015,74.6,0,,0,94,0,0,95,,95,0.828,16
2014,74.4,0,0.01,1542.635979,92,36,0,92,5.88,92,0.822,16
2013,74.1,0,10.37,150.3116884,94,0,0,94,5.67,94,0.814,15.4
2012,73.8,0,10.21,1356.022164,9,3,0,91,5.91,91,0.812,15.5
2011,73.6,0,10.14,24.70841046,89,1,0,92,6.1,92,0.81,15.8
2010,72.8,0,9.8,1109.969508,91,0,0,92,6.55,92,0.815,16
2009,72.6,0,9.85,1137.6237,92,0,0,94,6.84,94,0.821,16.4
2008,71.9,0,11.84,253.4022338,93,3,0,94,6.63,94,0.819,16.3
2007,78,0,12.12,170.9884138,91,0,0,94,7.1,94,0.814,16.2
2006,75,0,10.4,1099.248837,94,7,0,96,6.8,96,0.807,16.2
2005,76,0,9.92,86.9255399,99,2,0,99,6.37,99,0.791,15.9
2004,71,0,8.81,80.0328375,98,0,0,99,6.51,99,0.776,15.5
2003,78,0,8.24,478.0644911,98,0,0,98,6.15,98,0.761,15.2
2002,73,0,7.44,376.4570185,98,0,0,98,6.29,97,0.746,14.8
2001,69.9,0,6.68,332.2751709,96,1,0,97,6.17,97,0.728,14.2
2000,71,0,7.13,291.0170765,95,0,0,96,6,96,0.716,13.7
2015,74.9,1,,0,81,39,1,75,,81,0.763,13.3
2014,74.8,1,1.32,140.3771361,81,112,1,75,6.39,81,0.763,13.3
2013,74.9,1,1.29,14.55610463,81,1761,1,75,6.63,81,0.766,13.3
2012,75,1,1.53,151.1526829,81,9,1,75,6.99,81,0.763,13.3
2011,75,1,1.57,835.0626827,81,9,1,75,7.12,81,0.758,13.2
2010,74.9,1,1.58,805.3956346,81,12,1,75,7.19,81,0.752,13.3
2009,74.7,1,1.62,8.140373615,81,22,1,75,7.42,81,0.746,13.2
2008,74.5,1,1.67,69.13924862,81,24,1,75,8.7,81,0.74,13.1
2007,74.4,1,1.72,8.906931168,8,373,1,75,8.9,8,0.731,12.9
2006,74.1,1,1.82,534.5795695,78,956,1,75,8.83,78,0.733,13.2
2005,73.9,1,1.94,630.0540723,77,618,1,74,8.42,77,0,13.7
2004,73.7,1,2.1,618.3614858,75,213,1,74,8.91,75,0,14.2
2003,73.5,1,2.19,527.9176618,74,526,1,74,9.3,74,0,14.8
2002,73.2,1,1.98,70.13207838,77,36,1,77,1.5,77,0,15.2
2001,73,1,2.19,510.6035166,8,8,1,8,1.9,8,0,15
2000,72.7,1,2.26,404.3879434,83,5,1,83,1.86,83,0,14.9
2015,53.7,4,,0,93,0,6,9,,93,0.495,10.7
2014,52.1,4,0.01,162.1278115,93,0,6,9,1.62,93,0.491,10.8
2013,52.1,4,0.01,153.3443147,93,516,6,9,11.7,93,0.484,11.1
2012,52.2,4,0.01,168.1348992,95,179,6,93,11.14,95,0.479,11
2011,52.3,4,2.39,195.825251,96,172,6,95,11.79,96,0.469,11
2010,51.1,4,2.71,154.8705998,93,2488,6,92,1.87,93,0.464,10.9
2009,49.4,4,2.75,104.3144732,91,0,6,89,9.8,91,0.453,10.8
2008,47.8,5,2.75,91.85432774,88,0,6,86,8.85,88,0.447,10.7
2007,46.2,4,2.69,9.18432717,9,2,6,87,8.47,88,0.44,10.6
2006,45.3,5,2.61,71.15577609,91,1,6,88,7.12,89,0.437,10.7
2005,44.5,5,2.67,57.90369752,87,0,6,88,6.3,89,0.437,10.7
2004,44.8,5,1.8,67.91361818,6,31,7,89,6.96,9,0.439,10.7
2003,45.5,5,1.99,5.300902041,17,1,7,9,7.13,9,0.44,10.5
2002,46.4,5,2.95,3.53457351,,0,7,84,6.91,84,0.446,10.4
2001,47.8,5,2.86,38.57187011,,217,7,78,7.53,78,0.443,10.3
2000,49.3,5,3.1,29.86616464,,660,7,82,6.92,83,0.445,9.6
2015,61.4,8,,0,52,1060,11,52,,52,0.427,9.9
2014,58.1,8,0.01,54.37396957,5,34,11,49,1.4,5,0.426,9.9
2013,61.1,9,0.01,45.04892458,76,0,11,75,9.25,76,0.419,9.8
2012,67,9,0.01,48.09891474,8,43,12,8,1.19,8,0.416,9.6
2011,62,9,3.72,60.44658161,77,279,12,77,11.23,77,0.406,9.5
2010,59.7,9,3.64,41.91052416,47,2200,13,71,11.87,7,0.403,9.6
2009,59.2,10,3.75,5.592170255,64,6,13,84,14.39,81,0.4,9.7
2008,58.6,10,3.88,40.03344077,64,1,14,79,11.83,75,0.394,9.8
2007,57.9,10,4.03,3.686899287,,1,14,67,1.24,65,0.383,9.9
2006,56.7,11,4.05,15.79934152,,20,15,66,1.9,6,0.377,10
2005,55.3,12,4.19,22.39648813,,8,16,66,8.4,6,0.372,10.1
2004,54,12,4.24,17.85870796,,4,17,47,8.77,31,0.335,10.2
2003,50,13,4.21,9.758449266,,142,18,49,3.44,35,0.373,10.3
2002,56,13,4.27,10.424369,,131,19,51,5.43,39,0.376,10.4
2001,51.5,14,4.4,16.72142854,,1379,20,54,6.41,42,0.386,10.5
2000,51.9,14,4.46,12.19709744,,5977,20,56,5.91,46,0.338,8.7
2015,72.7,1,,0,97,82,2,97,,97,0.719,13.4
2014,72.4,2,0.01,0,94,372,2,94,4.97,94,0.73,13.4
2013,72.9,2,0.01,0,96,0,2,96,4.33,96,0.735,13.4
2012,72.9,2,0.01,0,98,320,2,98,4.3,98,0.706,13.7
2011,71.3,2,0.01,36.11567366,98,0,2,98,4.77,98,0.756,14
2010,72.8,2,0.01,52.50394196,98,0,2,98,3.5,98,0.755,14.3
2009,72.7,2,0.01,63.55170297,98,329,2,98,3.16,98,0.757,14.6
2008,72.6,2,0.01,532.6700005,98,8,2,98,2.4,98,0.757,14.8
2007,72.5,2,0.01,54.8789106,98,59,3,98,2.63,98,0.756,15.1
2006,72.2,2,0.01,493.415341,98,1,3,98,2.51,98,0.752,15.4
2005,71.9,2,0.01,472.3047034,97,292,3,98,2.71,98,0.748,15.7
2004,71.5,2,0.01,31.80653288,99,2771,3,97,3.46,97,0.747,15.9
2003,71.3,3,0.01,295.1166511,96,0,3,95,4.6,95,0.74,16
2002,71.1,3,0.01,29.13434871,91,3890,3,93,4.57,93,0.736,15.8
2001,71,3,0.01,362.3817951,93,633,3,94,4.6,94,0.732,15.7
2000,78,3,0.01,457.3202236,92,0,3,94,3.41,94,0.727,15.5
2015,73.6,0,,0,94,50,0,93,,93,0.846,16.5
2014,73.4,0,15.19,2211.744178,94,11,0,93,6.55,93,0.841,16.5
2013,73,0,15.04,1968.816817,93,35,0,93,6.59,93,0.834,16.4
2012,73,0,15.14,1807.071336,93,0,0,93,6.67,93,0.83,16.5
2011,72.8,0,12.66,1758.822757,95,7,0,92,6.86,92,0.826,16.7
2010,72.4,0,12.9,1423.802386,94,2,0,95,7.9,95,0.824,16.8
2009,72.2,0,12.4,1446.529217,95,0,0,98,7.53,98,0.825,16.6
2008,71.1,0,13.3,1888.149904,96,1,0,96,6.61,96,0.82,16.5
2007,72,0,13.4,1581.511914,96,0,0,95,6.22,95,0.812,16.4
2006,76,0,12.7,116.504961,95,1,0,94,6.2,94,0.807,16.4
2005,78,0,12.3,913.699529,95,1,0,93,5.83,94,0.798,16.2
2004,71.6,0,12.1,76.36187737,94,1,0,9,5.67,94,0.792,16.3
2003,71.6,0,11.29,80.99710054,95,1,0,91,6.46,94,0.78,15.8
2002,71.4,0,11,561.9168642,94,103,0,97,6.4,95,0.77,15.3
2001,71.2,0,10.2,42.87208671,95,7,0,97,6.26,95,0.757,14.7
2000,71.6,0,9.87,373.2605532,98,19,0,92,6.46,94,0.745,14
2015,82,0,,0,94,0,0,99,,99,0.896,13.9
2014,81.7,0,11.12,16255.16198,94,0,0,99,6.94,99,0.892,13.9
2013,81.4,0,11.02,15515.75234,94,0,0,99,7.1,99,0.892,13.9
2012,81.1,0,11.34,2284.58215,94,2,0,99,7.18,99,0.892,13.9
2011,88,0,11.5,17028.52798,95,6,0,96,7.34,99,0.894,13.9
2010,86,0,11.36,2267.252192,94,0,0,96,7.68,99,0.884,13.7
2009,83,0,11.42,2052.393076,95,0,0,96,8.11,99,0.888,13.5
2008,80,0,11.53,18961.3486,94,1,0,96,7.34,99,0.887,13.5
2007,79.7,0,11.75,267.051312,87,0,0,96,6.8,99,0.877,13.5
2006,79.4,0,11.98,15345.4907,95,8,0,99,7.75,99,0.88,13.5
2005,78.8,0,11.84,1346.246697,95,0,0,99,7.95,99,0.874,13.5
2004,78.7,0,12.42,12372.05188,94,0,0,99,8.2,99,0.867,13.5
2003,78.6,0,12.61,10111.38928,95,1,0,99,7.67,98,0.865,13.6
2002,78.3,0,12.91,910.5062778,95,0,0,99,8.27,99,0.86,13.5
2001,78,0,12.89,7877.33656,86,0,0,99,7.4,99,0.854,13.4
2000,77.8,0,13.14,8246.130437,77,0,0,99,7.48,99,0.848,13.5
2015,65.5,28,,0,69,3,38,71,,69,0.511,10.3
2014,65.1,29,0.01,5.339065673,73,3,39,73,3.4,73,0.509,10.3
2013,64.7,29,0.87,79.50882493,74,6,40,73,4.15,74,0.508,10.3
2012,64.3,30,0.87,59.97914461,7,2,42,71,3.46,7,0.506,10.2
2011,63.8,31,0.97,78.79967196,73,0,43,73,4.24,73,0.504,10.2
2010,63.3,32,1.03,76.60442169,7,1,45,7,4.86,7,0.503,10.2
2009,62.8,33,0.91,71.16601203,77,0,47,76,4.7,77,0.5,9.7
2008,62.3,34,0.68,6.448762615,77,3,49,77,4.5,77,0.491,9.4
2007,61.9,35,0.71,55.43034455,84,0,51,83,4.98,84,0.483,9.1
2006,61.4,36,0.68,38.41870375,82,2,54,83,5.11,85,0.478,9
2005,69,37,0.72,33.74786198,81,0,56,8,5.3,85,0.473,8.9
2004,64,38,0.81,23.72796328,71,35558,58,74,4.89,78,0.466,8.7
2003,59.9,40,0.93,37.12894787,61,62233,60,65,4.81,66,0.457,8.5
2002,59.3,41,0.9,47.5262138,51,10795,63,61,5.29,62,0.462,8.3
2001,58.7,42,1.05,42.56331585,,9357,65,6,5.17,6,0.456,8.2
2000,57.9,44,1.16,35.66125056,,35256,68,58,5.8,57,0,8
2015,58.3,26,,0,88,0,38,88,,88,0.473,10.8
2014,57.6,27,0.01,59.48744893,91,3,40,87,11.38,91,0.466,10.7
2013,56.7,29,0.01,55.83107625,89,1,42,89,1.96,89,0.459,10.7
2012,55.3,31,0.01,82.76865922,96,11,46,95,12.6,96,0.454,10.7
2011,54.1,32,1.23,13.77617463,97,26,50,97,11.67,97,0.444,10.6
2010,52.9,35,1.08,9.728005297,93,118712,54,86,1.5,93,0.43,10.2
2009,51.5,36,1.16,7.915071248,93,21,56,93,1.18,93,0.415,9.9
2008,50,36,1.27,74.34482999,91,20,58,92,1.7,91,0.4,9.6
2007,48.5,37,1.18,4.269511381,87,143,59,88,9.31,87,0.387,9.7
2006,47.1,38,1.18,6.847033785,99,1,61,99,8.99,99,0.377,9.6
2005,46,39,1.04,5.670640102,93,184,62,94,8.2,93,0.371,9.7
2004,45.1,40,1.11,58.13583343,89,1116,65,94,7.82,89,0.366,10
2003,44.6,43,1.08,4.375316094,84,167,70,85,6.35,84,0.362,10.3
2002,44,46,1.1,3.885394742,64,92,75,79,4.82,64,0.388,10.4
2001,43.5,48,1.15,12.79760626,,150,80,86,5.7,9,0.387,10.1
2000,43.1,51,1.18,13.76270195,,304,84,73,6.7,75,0.391,10.7
2015,75,4,,0,99,1318,4,99,,99,0.787,13.1
2014,74.8,4,0.52,721.3655432,96,221,4,97,4.17,97,0.783,13
2013,74.6,3,0.53,110.6779711,96,195,4,97,4.2,97,0.779,12.9
2012,74.5,3,0.53,101.609245,97,1868,4,97,4.1,97,0.776,12.9
2011,74.3,3,0.51,9.23002632,96,1569,4,96,3.89,96,0.774,13
2010,74.1,3,0.49,65.56659662,96,73,4,96,3.99,96,0.764,12.8
2009,74,3,0.47,431.5452472,96,153,4,97,3.97,97,0.756,12.6
2008,73.8,3,0.47,438.4519214,97,334,4,97,3.47,97,0.747,12.5
2007,73.7,3,0.43,409.9812523,96,394,4,97,3.61,97,0.736,12.3
2006,73.6,3,0.42,365.9113978,95,564,4,95,3.65,95,0.732,12.7
2005,73.4,3,0.46,297.5913833,96,1407,4,96,3.29,96,0.734,12.9
2004,73.2,3,0.49,315.6639322,94,5729,4,95,3.74,95,0.731,12.7
2003,73.1,3,0.48,264.2496129,95,632,4,96,3.95,96,0.724,12.1
2002,72.9,4,0.49,216.7029481,95,408,4,94,3.4,94,0.723,12
2001,72.7,4,0.53,210.2417002,95,2198,5,95,3.4,96,0.725,11.9
2000,72.4,4,0.54,23.37167228,97,6187,5,98,3.4,98,0.715,11.6
2015,78.5,0,,0,99,0,0,99,,99,0.701,12.7
2014,78.2,0,0.01,2051.748615,99,0,0,99,13.73,99,0.693,12.7
2013,77.9,0,0.01,1626.591186,99,0,0,99,11.16,99,0.683,12.4
2012,77.6,0,0.01,1259.940376,99,0,0,99,9.16,99,0.675,12.1
2011,77.3,0,1.92,1079.893546,96,0,0,96,8.11,96,0.663,11.8
2010,76.7,0,1.83,91.13971812,97,0,0,97,7.93,96,0.653,11.6
2009,76.3,0,1.59,100.503021,98,6,0,98,9.22,98,0.651,11.8
2008,75.9,0,1.76,1077.712092,98,0,0,98,9.3,98,0.641,11.8
2007,75.4,0,1.78,6.491488598,98,20,0,98,6.64,98,0.632,11.9
2006,75,0,1.62,659.8499118,98,47,0,98,7.37,98,0.622,12
2005,74.3,0,1.47,620.9518909,98,1395,0,98,9.52,98,0.625,12.1
2004,73.4,0,1.6,611.9093566,97,37,0,96,5.89,96,0.617,12.2
2003,72.7,0,1.75,491.4978908,98,75,0,98,5.9,98,0.601,11.8
2002,71.8,0,1.95,4.299053392,98,926,0,98,5.78,98,0.597,12
2001,78,0,1.98,41.30688803,98,0,0,97,5.84,98,0.587,11.8
2000,69.6,0,1.83,300.1621026,96,20,0,98,8,98,0.577,11.3
2015,58.2,52,,0,64,215,84,66,,64,0.438,8.4
2014,57.8,52,0.01,46.56231672,73,290,85,74,6.86,73,0.43,8.2
2013,57.3,53,0.01,36.86104319,69,221,86,7,6.58,69,0.421,8
2012,57.2,53,0.01,96.5465827,66,341,88,72,6.47,66,0.411,7.7
2011,56.8,54,0.61,101.8113996,66,24,90,72,6.59,66,0.404,7.5
2010,56.5,54,0.6,9.585584394,72,1719,91,77,6.35,73,0.396,7.3
2009,56,55,0.59,84.63438925,71,2939,93,77,6.85,73,0.385,7.1
2008,55.5,55,0.57,102.1413744,74,98,94,74,6.74,74,0.36,5.8
2007,55,56,0.55,81.8405007,74,2,96,76,6.97,74,0.363,6.4
2006,54.3,57,0.53,67.70920683,9,128,98,79,6.56,78,0.35,6.1
2005,53.6,57,0.55,60.21211141,83,33,101,78,6.34,77,0.338,5.8
2004,52.8,58,0.49,57.11644801,73,172,103,7,6.28,69,0.333,5.5
2003,52,59,0.54,6.660451777,79,232,106,67,6.25,63,0.318,5.2
2002,51.2,60,0.53,3.67646576,,717,108,65,6.32,61,0.308,4.9
2001,55,60,0.51,4.395885717,,4464,110,56,6.39,49,0.297,4.6
2000,49.8,60,0.47,23.94507124,,1578,111,53,6.29,43,0.291,4.4
2015,81.7,0,,0,95,2,0,97,,97,0.853,14.6
2014,81.4,0,8.49,409.6000248,9,0,0,99,9.75,99,0.847,14.3
2013,81.1,0,8.58,374.2947283,94,0,0,99,9.89,99,0.828,14.2
2012,81,0,7.67,343.123395,93,0,0,99,9.95,99,0.821,14.1
2011,87,0,6.91,3601.287457,82,3,0,96,9.6,96,0.826,14.8
2010,83,0,7.91,278.0687051,75,0,0,76,8.3,76,0.819,14.6
2009,82,0,7.38,335.5180568,86,1,0,73,8.33,73,0.815,14.4
2008,80,0,7.14,2655.573684,86,1,0,72,8.15,72,0.813,14.6
2007,79.6,0,7.45,2578.888314,82,2,0,76,8.36,74,0.808,14.4
2006,79.3,0,8.84,2380.699796,86,1,0,83,8.93,85,0.809,14.8
2005,79,0,6.41,2247.035692,85,6,0,94,8.83,92,0.805,14.8
2004,78.7,0,6.53,203.3157499,85,4,0,89,8.46,89,0.797,14.2
2003,78.5,0,6.7,1678.392773,89,4,0,94,8.6,94,0.79,13.8
2002,78.2,0,5.73,1552.740429,,7,0,95,7.86,95,0.786,13.8
2001,77.8,0,5.62,130.0150391,,2,0,95,7.11,95,0.783,13.7
2000,77.5,0,5.59,134.3547253,,2,0,94,6.83,94,0.779,13.8
2013,,0,0.01,871.8783173,8,0,0,79,17.24,79,,0
2015,63.1,8,,0,73,1,12,67,,73,0.513,8.5
2014,63,8,0.01,80.92679802,84,14,12,84,3.77,84,0.509,8.5
2013,62.7,8,0.01,8.88028118,8,62,12,8,3.63,8,0.501,8.2
2012,62.5,8,0.01,62.48419552,8,35,12,8,3.36,8,0.491,7.8
2011,62.2,8,0.01,79.27658464,75,234,12,73,2.87,75,0.487,7.7
2010,62,8,0.01,8.353074798,64,1292,12,52,3.28,64,0.484,7.6
2009,61.7,8,0.01,11.14504291,64,322,12,63,3.79,64,0.476,7.1
2008,61.4,8,0.02,61.76263795,74,4,12,73,3.23,74,0.475,7.2
2007,61.2,8,0.02,7.35400072,74,11,12,75,3.54,75,0.475,7.4
2006,69,8,0.01,55.79836969,68,22,12,68,3.21,68,0.466,7.2
2005,66,8,0.01,55.12187071,42,127,12,71,4.21,71,0.461,7.2
2004,64,8,0.01,5.00378288,,5039,12,68,4.7,7,0.451,6.7
2003,63,8,0.01,29.65370899,,3611,12,75,4.53,76,0.447,6.6
2002,62,7,0.02,4.113190741,,883,12,91,5.31,89,0.446,6.5
2001,61,7,0.01,28.782245,,1398,12,75,4.34,75,0.444,6.5
2000,60,7,0.03,8.594570232,,0,11,58,5.26,51,0.443,6.4
2015,74.6,0,,0,97,0,0,98,,97,0.779,15.2
2014,74.2,0,0.01,115.2784282,97,0,0,98,4.81,97,0.769,14.7
2013,74.1,0,0.01,917.467628,98,0,0,98,4.82,98,0.765,14.7
2012,73.9,0,0.01,915.1859205,98,0,0,98,4.76,98,0.756,14.3
2011,73.6,0,3.03,918.807245,98,2,0,98,5.2,98,0.748,14.1
2010,73.3,0,2.95,0.108055973,99,12,0,99,5.29,99,0.74,14
2009,72.8,0,2.83,624.2361828,99,15,0,99,4.97,99,0.734,13.8
2008,72.7,0,2.49,6.6489825,99,12,0,99,4.6,99,0.728,13.6
2007,72.9,0,3.24,582.5143743,97,13,0,96,4.24,97,0.72,13.5
2006,71.8,0,3.73,502.3844946,97,3,0,98,4.38,97,0.713,13.4
2005,72.1,0,3.94,479.9234077,97,7,0,97,4.47,97,0.704,13
2004,71.9,0,4.16,509.3899943,98,28,0,98,4.29,98,0.696,12.8
2003,71.5,0,4.08,407.779262,97,777,0,99,4.15,99,0.687,12.6
2002,71.5,0,4.14,369.6317105,88,0,0,88,4.24,88,0.683,12.5
2001,71.5,0,4.38,70.15536981,92,0,0,93,3.87,92,0.673,12.2
2000,71,0,4.6,336.3213326,88,0,0,88,3.78,88,0.667,12.1
2015,76.7,30,,0,82,0,35,87,,87,0.758,13.3
2014,76.6,31,5.26,168.173753,84,3,36,87,6.3,87,0.754,13.1
2013,76.6,32,5.23,150.408875,82,0,37,83,6.3,83,0.753,12.9
2012,76.3,33,5.29,112.696486,99,0,38,99,6.21,99,0.748,12.7
2011,76.1,34,5.3,1117.196097,98,3,39,97,6.4,97,0.745,12.6
2010,75.6,35,5.21,1033.039737,93,0,40,95,6.39,95,0.739,12.5
2009,75.7,36,5.27,881.7364327,95,0,42,95,6.6,95,0.738,12.5
2008,75.6,37,5.36,159.8772264,97,0,43,96,6.6,96,0.735,12.3
2007,76,38,5.35,105.7476131,98,0,45,98,5.92,98,0.731,12.3
2006,75.8,40,5.11,980.2537444,98,23,47,98,5.83,98,0.723,12.2
2005,75.3,42,4.93,998.3498049,98,6,49,98,6.4,98,0.719,12.2
2004,75.4,44,4.9,920.8284115,98,64,52,98,6.11,98,0.714,12.1
2003,75,46,4.88,781.2062828,98,44,55,98,6.2,98,0.708,11.9
2002,75,49,4.77,12.1859723,97,0,58,98,5.52,97,0.703,11.6
2001,75,52,4.86,13.31109532,97,3,62,97,5.35,97,0.7,11.6
2000,74.8,55,4.99,10.22840118,97,30,66,97,4.98,97,0.694,11.4
2015,69.4,0,,0,78,0,0,71,,72,0.637,11.7
2014,69.4,0,1.58,0,81,140,0,76,13.71,77,0.639,11.7
2013,69.2,0,1.67,0,83,0,0,81,13.38,81,0.641,11.7
2012,69,0,2.98,0,82,0,0,81,12.77,81,0.64,11.7
2011,68.9,0,1.89,0,83,0,0,83,13.76,84,0.638,11.7
2010,68.7,0,1.76,0,88,0,0,85,13.83,85,0.633,11.5
2009,68.5,0,2.06,0,89,0,0,81,13.44,91,0.629,11.4
2008,68.4,0,1.97,0,89,0,0,88,12.94,85,0.628,11.2
2007,68.2,0,1.64,0,9,0,0,79,11.99,79,0.625,11
2006,68,0,1.73,0,84,0,0,81,11.92,67,0.622,10.9
2005,67.9,0,1.9,0,91,0,0,94,12.11,94,0.617,10.7
2004,67.7,0,2.02,0,8,0,0,82,1.64,78,0.616,10.5
2003,67.5,0,3.15,0,89,0,0,88,9.69,92,0.612,10.4
2002,66.2,0,2.78,0,85,0,0,84,8.2,84,0.608,10.2
2001,67.2,0,2.82,0,81,0,0,79,8.58,75,0.604,10.1
2000,67,0,2.23,0,87,0,0,85,7.88,85,0,0
2013,,0,0.01,0,99,0,0,99,4.3,99,,
2015,68.8,1,,0,99,20359,1,99,,99,0.733,14.8
2014,68.4,1,0.01,281.0023992,99,0,1,99,4.73,99,0.729,14.8
2013,68.1,1,0.01,241.1958645,98,0,1,98,4.21,98,0.72,14.7
2012,67.8,1,0.01,253.8285861,99,0,2,99,4.22,99,0.712,14.7
2011,67.3,1,0.01,257.8403154,99,0,2,99,4.45,99,0.701,14.6
2010,66.3,1,5.8,22.31624272,96,7,2,96,4.7,96,0.693,14.3
2009,66.9,1,4.61,134.1678932,97,8,2,96,5.29,95,0.686,13.8
2008,67.4,2,4.26,181.0123284,96,31,2,95,5.58,96,0.673,13.4
2007,65.9,2,3.79,126.698109,98,12,2,99,5.6,95,0.661,13
2006,65,2,2.91,122.1206485,98,26,2,98,4.68,99,0.649,12.7
2005,64.5,2,2.75,98.68367951,98,0,2,99,5.9,99,0.637,11.8
2004,64,2,1.75,73.24150483,98,0,2,99,5.99,99,0.621,11.2
2003,64,2,1.31,56.05686428,98,18,2,98,6.18,98,0.609,10.5
2002,63.8,2,2.43,55.60878216,98,1205,2,98,5.81,98,0.599,10.1
2001,63.2,2,2.87,61.84921903,95,10677,3,95,5.45,95,0.588,9.4
2000,62.8,2,2.79,56.431387,93,925,3,94,4.92,94,0.582,8.9
2015,76.1,0,,0,82,0,0,89,,89,0.804,15.1
2014,75.9,0,0.01,726.0291764,87,0,0,91,6.42,91,0.803,15.1
2013,75.8,0,0.01,707.144691,9,0,0,94,6.43,94,0.799,15.1
2012,75.6,0,0.01,648.1331781,9,0,0,94,7.25,94,0.797,15.1
2011,75.4,0,6.56,666.7374371,91,5,0,95,6.92,95,0.792,15.1
2010,75.3,0,6.56,635.4849381,9,5,0,93,6.9,94,0.787,15
2009,75,0,6.45,489.6818699,87,0,0,91,6.7,92,0.785,14.6
2008,74.6,0,6.17,709.1311228,93,0,0,95,6.13,95,0.774,14.2
2007,74.2,0,4.98,678.5188944,9,0,0,92,6.74,92,0.762,13.6
2006,73.8,0,5.38,595.7306923,9,0,0,9,8.1,9,0.751,13.2
2005,73.6,0,,527.3076721,,0,0,,8.46,,0.746,12.8
2004,73.5,0,0.01,57.12190146,,0,0,,8.45,,0.74,12.6
2003,73.5,0,0.01,495.0782963,,0,0,,8.91,,0,0
2002,73.4,0,0.01,36.48024032,,0,0,,8.33,,0,0
2001,73.3,0,0.01,33.66981355,,0,0,,8.23,,0,0
2000,73,0,0.01,274.5472605,,0,0,,7.32,,0,0
2015,74.3,17,,0,99,17,20,99,,99,0.645,12.1
2014,74.1,18,0.43,198.7343495,99,10,21,99,5.91,99,0.64,12.1
2013,73.9,18,0.45,179.8598949,99,92,21,99,5.94,99,0.634,12.1
2012,73.6,19,0.55,19.15853732,99,668,22,99,6.15,99,0.623,11.6
2011,73.3,19,0.54,22.0945504,98,982,22,98,5.99,99,0.612,11.2
2010,72.8,20,0.56,183.6592186,98,633,23,99,5.86,99,0.603,10.7
2009,72.3,20,0.62,188.2902861,98,834,23,99,5.67,99,0.596,10.5
2008,71.8,21,0.51,171.3658969,97,1455,24,99,5.41,99,0.589,10.3
2007,71.4,21,0.56,157.6431445,95,2248,25,95,5.48,95,0.581,10
2006,71,22,0.58,127.7632005,95,1217,25,97,5.23,97,0.575,10
2005,77,22,0.47,9.469371264,96,0,26,98,5.6,98,0.569,9.8
2004,72,23,0.56,100.3638322,95,6399,27,97,5.22,97,0.561,9.6
2003,69.9,24,0.58,88.16506179,9,10841,28,91,5.25,91,0.551,9.3
2002,69.5,25,0.46,66.72933871,92,6000,29,94,5.31,94,0.54,8.8
2001,69,26,0.46,71.11645,84,2724,30,93,4.44,96,0.53,8.5
2000,68.6,27,0.45,63.42140024,43,7368,32,95,4.18,95,0.519,8
2015,57.6,60,,0,8,79,81,8,,8,0.414,9.1
2014,56.7,61,0.01,54.91159475,79,9,84,79,6.98,79,0.409,9.1
2013,55.3,62,1.16,5.813338496,78,8,87,78,5.9,78,0.405,9.1
2012,54.8,64,1.19,49.90987221,76,145,90,73,5.58,76,0.4,9.2
2011,54.3,66,0.94,40.80617976,76,177,94,73,6.23,76,0.397,9.5
2010,54,69,0.96,5.743393664,74,2321,98,73,5.38,74,0.39,9.3
2009,53.8,70,1.18,39.75216936,74,60,101,74,5.43,74,0.382,9.2
2008,53.2,72,1.48,0.796915785,75,4,104,74,4.91,75,0.372,8.8
2007,52.1,74,1.03,53.9502789,75,267,108,75,5.25,75,0.36,8.2
2006,51.2,78,1.2,58.59644487,75,183,113,73,6.51,78,0.353,7.9
2005,58,80,1.23,67.33378735,75,12598,117,71,6.87,8,0.341,7.3
2004,54,82,1.54,46.58195631,76,9396,120,69,5.91,83,0.332,7
2003,51,85,1.68,42.52689559,76,28898,124,67,6.39,85,0.318,6.7
2002,49.8,87,2.16,40.82597077,76,7155,127,76,6.45,76,0.311,6.2
2001,49.5,90,2.09,37.82511936,25,7085,132,72,5.64,73,0.298,5.8
2000,49,93,1.14,47.17250718,,7375,136,69,6.16,7,0.291,5.4
2015,66.6,39,,0,89,6,50,89,,89,0.552,9.1
2014,66.4,40,0.01,45.33788677,88,122,52,88,2.28,88,0.547,9.1
